State,MMR_rates
Alabama,95.4
Alaska,85.2
Arizona,90.8
Arkansas,81.8
California,89.8
Colorado,83.6
Connecticut,93.7
Delaware,90.2
Dist. of Columbia,91.2
Florida,91.2
Georgia,91.3
Hawaii,86.7
Idaho,88.1
Illinois,88.2
Indiana,86.6
Iowa,93.2
Kansas,92.5
Kentucky,88.9
Louisiana,94.4
Maine,91.4
Maryland,89.7
Massachusetts,93.7
Michigan,90.9
Minnesota,93.6
Mississippi,91.6
Missouri,88.8
Montana,87.2
Nebraska,93.6
Nevada,86.3
New Hampshire,92.0
New Jersey,86.9
New Mexico,89.1
New York,90.3
North Carolina,92.9
North Dakota,94.4
Ohio,89.4
Oklahoma,94.2
Oregon,88.1
Pennsylvania,89.3
Rhode Island,90.8
South Carolina,86.9
South Dakota,92.8
Tennessee,94.7
Texas,88.5
Utah,91.3
Vermont,91.9
Virginia,85.8
Washington,90.8
West Virginia,89.2
Wisconsin,94.4
Wyoming,91.3
