State,MMR_rates
Alabama,94.0
Alaska,90.8
Arizona,86.7
Arkansas,93.7
California,91.0
Colorado,88.4
Connecticut,95.0
Delaware,90.6
Dist. of Columbia,93.5
Florida,90.8
Georgia,94.1
Hawaii,94.2
Idaho,89.5
Illinois,90.8
Indiana,90.6
Iowa,86.7
Kansas,91.0
Kentucky,91.4
Louisiana,92.6
Maine,90.3
Maryland,95.2
Massachusetts,93.1
Michigan,87.6
Minnesota,96.0
Mississippi,89.6
Missouri,88.2
Montana,87.8
Nebraska,95.3
Nevada,90.5
New Hampshire,92.0
New Jersey,91.3
New Mexico,93.1
New York,91.0
North Carolina,92.3
North Dakota,95.8
Ohio,93.3
Oklahoma,94.0
Oregon,90.6
Pennsylvania,92.8
Rhode Island,96.6
South Carolina,89.3
South Dakota,89.2
Tennessee,91.1
Texas,94.3
Utah,88.8
Vermont,95.3
Virginia,89.0
Washington,89.3
West Virginia,85.8
Wisconsin,94.9
Wyoming,85.6
