city,state,lat,lon,year,month,cases,reason,citation
Philadelphia,Pennsylvania,39.952584,-75.165222,2009,February,1,unclear,http://www.vpul.upenn.edu/shs/health_advisory_measles.php
Charlottesville,Virginia,38.029306,-78.476678,2009,April,6,travel,""
Pittsburgh,Pennsylvania,40.440625,-79.995886,2009,April,5,travel,http://www.post-gazette.com/local/city/2009/04/10/Source-of-measles-outbreak-was-visitor-from-India/stories/200904100138
