state_name,mmr_rate,year
KANSAS,89.4,2013
KENTUCKY,89.5,2013
LOUISIANA,88.1,2013
MAINE,91,2013
MARYLAND,95.3,2013
MASSACHUSETTS,95.8,2013
MICHIGAN,89.2,2013
MINNESOTA,90.8,2013
MISSISSIPPI,95.2,2013
MISSOURI,89.8,2013
MONTANA,87.3,2013
NEBRASKA,92.5,2013
NEVADA,90.4,2013
NEW HAMPSHIRE,96.3,2013
NEW JERSEY,95.6,2013
NEW MEXICO,89.1,2013
NEW YORK,95.5,2013
NORTH CAROLINA,96,2013
NORTH DAKOTA,91.4,2013
OHIO,86,2013
OKLAHOMA,89.8,2013
OREGON,89.4,2013
PENNSYLVANIA,93.3,2013
RHODE ISLAND,95.6,2013
SOUTH CAROLINA,89.2,2013
SOUTH DAKOTA,93.1,2013
TENNESSEE,92.3,2013
TEXAS,92.7,2013
UTAH,92.6,2013
VERMONT,91.2,2013
VIRGINIA,88.6,2013
WASHINGTON,93.5,2013
WEST VIRGINIA,86,2013
WISCONSIN,93.2,2013
WYOMING,89,2013
ALABAMA,92,2014
ALASKA,90.2,2014
ARIZONA,84.1,2014
ARKANSAS,89.1,2014
CALIFORNIA,90.5,2014
COLORADO,87.4,2014
CONNECTICUT,93.2,2014
DELAWARE,90.8,2014
DISTRICT OF COLUMBIA,90.9,2014
FLORIDA,91.2,2014
GEORGIA,94.2,2014
HAWAII,92.5,2014
IDAHO,89.7,2014
ILLINOIS,93.2,2014
INDIANA,91.5,2014
IOWA,91.1,2014
KANSAS,93.4,2014
KENTUCKY,88.6,2014
LOUISIANA,91.8,2014
MAINE,97.2,2014
MARYLAND,94.9,2014
MASSACHUSETTS,94.7,2014
MICHIGAN,87.4,2014
MINNESOTA,94.3,2014
MISSISSIPPI,95,2014
MISSOURI,90.3,2014
MONTANA,93.4,2014
NEBRASKA,96,2014
NEVADA,90.4,2014
NEW HAMPSHIRE,93.1,2014
NEW JERSEY,93.3,2014
NEW MEXICO,94.6,2014
NEW YORK,93.1,2014
NORTH CAROLINA,94.3,2014
NORTH DAKOTA,94.9,2014
OHIO,95.6,2014
OKLAHOMA,92,2014
OREGON,85.1,2014
PENNSYLVANIA,92,2014
RHODE ISLAND,94.6,2014
SOUTH CAROLINA,90.8,2014
SOUTH DAKOTA,94.1,2014
TENNESSEE,95.8,2014
TEXAS,90.4,2014
UTAH,85.3,2014
VERMONT,93.2,2014
VIRGINIA,91.5,2014
WASHINGTON,86.3,2014
WEST VIRGINIA,88.9,2014
WISCONSIN,93.2,2014
WYOMING,90.4,2014
ALABAMA,95.2,2015
ALASKA,89.7,2015
ARIZONA,90.6,2015
ARKANSAS,90.2,2015
CALIFORNIA,92.8,2015
COLORADO,93.6,2015
CONNECTICUT,97.5,2015
DELAWARE,97.2,2015
DISTRICT OF COLUMBIA,92.4,2015
FLORIDA,90.4,2015
GEORGIA,90.5,2015
HAWAII,94.7,2015
IDAHO,91.2,2015
ILLINOIS,91.6,2015
INDIANA,92,2015
IOWA,95.5,2015
KANSAS,92.3,2015
KENTUCKY,91.6,2015
LOUISIANA,92.6,2015
MAINE,96,2015
MARYLAND,95.4,2015
MASSACHUSETTS,91.8,2015
MICHIGAN,90.6,2015
MINNESOTA,92.6,2015
MISSISSIPPI,89.8,2015
MISSOURI,91.6,2015
MONTANA,91.7,2015
NEBRASKA,95.6,2015
NEVADA,93.7,2015
NEW HAMPSHIRE,93.4,2015
NEW JERSEY,92.8,2015
NEW MEXICO,89.7,2015
NEW YORK,92.5,2015
NORTH CAROLINA,94.3,2015
NORTH DAKOTA,92.8,2015
OHIO,88.1,2015
OKLAHOMA,92.6,2015
OREGON,94.1,2015
PENNSYLVANIA,90.9,2015
RHODE ISLAND,94.5,2015
SOUTH CAROLINA,88.5,2015
SOUTH DAKOTA,91.4,2015
TENNESSEE,90.2,2015
TEXAS,92.5,2015
UTAH,89.2,2015
VERMONT,95.5,2015
VIRGINIA,83.4,2015
WASHINGTON,95.3,2015
WEST VIRGINIA,86.7,2015
WISCONSIN,92.4,2015
WYOMING,93.5,2015
ALABAMA,91.1,2016
ALASKA,85.6,2016
ARIZONA,87.7,2016
ARKANSAS,92.1,2016
CALIFORNIA,89.3,2016
COLORADO,88.9,2016
CONNECTICUT,94.5,2016
DELAWARE,93.8,2016
DISTRICT OF COLUMBIA,93.7,2016
FLORIDA,91.1,2016
GEORGIA,93.2,2016
HAWAII,91.8,2016
IDAHO,88.6,2016
ILLINOIS,94.4,2016
INDIANA,93,2016
IOWA,96.2,2016
KANSAS,92.3,2016
KENTUCKY,92.5,2016
LOUISIANA,91.2,2016
MAINE,91.6,2016
MARYLAND,93.2,2016
MASSACHUSETTS,98.6,2016
MICHIGAN,86.4,2016
MINNESOTA,92,2016
MISSISSIPPI,90.8,2016
MISSOURI,92.9,2016
MONTANA,86,2016
NEBRASKA,93.7,2016
NEVADA,90.5,2016
NEW HAMPSHIRE,95.9,2016
NEW JERSEY,92.4,2016
NEW MEXICO,91.2,2016
NEW YORK,94.2,2016
NORTH CAROLINA,93.3,2016
NORTH DAKOTA,89.2,2016
OHIO,87.4,2016
OKLAHOMA,89.7,2016
OREGON,86.7,2016
PENNSYLVANIA,93,2016
RHODE ISLAND,95.4,2016
SOUTH CAROLINA,93.5,2016
SOUTH DAKOTA,93.6,2016
TENNESSEE,86.2,2016
TEXAS,89.8,2016
UTAH,88.6,2016
VERMONT,95.2,2016
VIRGINIA,90.4,2016
WASHINGTON,91.1,2016
WEST VIRGINIA,89.6,2016
WISCONSIN,90.6,2016
WYOMING,88.8,2016
ALABAMA,92.3,2017
ALASKA,89.3,2017
ARIZONA,91.7,2017
ARKANSAS,92.6,2017
CALIFORNIA,92.9,2017
COLORADO,87.2,2017
CONNECTICUT,94.6,2017
DELAWARE,92.9,2017
DISTRICT OF COLUMBIA,94.1,2017
FLORIDA,91.9,2017
GEORGIA,90.7,2017
HAWAII,90.5,2017
IDAHO,92.2,2017
ILLINOIS,91.9,2017
INDIANA,87,2017
IOWA,91.5,2017
KANSAS,89.8,2017
KENTUCKY,92.7,2017
LOUISIANA,91.3,2017
MAINE,93.7,2017
MARYLAND,92.4,2017
MASSACHUSETTS,98.3,2017
MICHIGAN,92.2,2017
MINNESOTA,94.3,2017
MISSISSIPPI,91.8,2017
MISSOURI,85.8,2017
MONTANA,92.3,2017
NEBRASKA,93.7,2017
NEVADA,92.4,2017
NEW HAMPSHIRE,94.1,2017
NEW JERSEY,89,2017
NEW MEXICO,89.3,2017
NEW YORK,92.5,2017
NORTH CAROLINA,92.2,2017
NORTH DAKOTA,95.7,2017
OHIO,88.3,2017
OKLAHOMA,91.7,2017
OREGON,90.3,2017
PENNSYLVANIA,91.7,2017
RHODE ISLAND,95.3,2017
SOUTH CAROLINA,88,2017
SOUTH DAKOTA,89.9,2017
TENNESSEE,92.3,2017
TEXAS,90.3,2017
UTAH,88.7,2017
VERMONT,93.7,2017
VIRGINIA,97.6,2017
WASHINGTON,88.5,2017
WEST VIRGINIA,89.9,2017
WISCONSIN,89.9,2017
WYOMING,89.1,2017
